,proportion
39,1.83
32,1.82
36,1.82
23,1.79
59,1.76
28,1.72
10,1.69
14,1.68
41,1.68
45,1.65
12,1.65
20,1.65
22,1.65
21,1.64
52,1.62
11,1.61
40,1.61
47,1.61
54,1.61
8,1.61
17,1.6
7,1.58
44,1.57
56,1.57
3,1.57
37,1.55
55,1.54
19,1.54
53,1.54
33,1.53
27,1.53
16,1.53
6,1.51
18,1.51
1,1.5
30,1.5
57,1.5
48,1.5
58,1.48
5,1.48
38,1.47
31,1.47
2,1.47
13,1.46
49,1.46
50,1.44
51,1.44
15,1.44
9,1.43
42,1.4
29,1.4
24,1.39
4,1.37
25,1.36
43,1.33
46,1.33
34,1.3
35,1.27
26,1.25
61,1.13
69,1.04
63,1.04
62,0.98
64,0.95
67,0.88
68,0.85
66,0.8
60,0.77
65,0.77
